country,date,cases
Chile,07/19/20,330930
Chile,07/20/20,333029
Chile,07/21/20,334683
Chile,07/22/20,336402
Chile,07/23/20,338759
Chile,07/24/20,341304
Chile,07/25/20,343592
Chile,07/26/20,345790
Chile,07/27/20,347923
India,01/22/20,0
India,01/23/20,0
India,01/24/20,0
India,01/25/20,0
India,01/26/20,0
India,01/27/20,0
India,01/28/20,0
India,01/29/20,0
India,01/30/20,1
India,01/31/20,1
India,02/01/20,1
India,02/02/20,2
India,02/03/20,3
India,02/04/20,3
India,02/05/20,3
India,02/06/20,3
India,02/07/20,3
India,02/08/20,3
India,02/09/20,3
India,02/10/20,3
India,02/11/20,3
India,02/12/20,3
India,02/13/20,3
India,02/14/20,3
India,02/15/20,3
India,02/16/20,3
India,02/17/20,3
India,02/18/20,3
India,02/19/20,3
India,02/20/20,3
India,02/21/20,3
India,02/22/20,3
India,02/23/20,3
India,02/24/20,3
India,02/25/20,3
India,02/26/20,3
India,02/27/20,3
India,02/28/20,3
India,02/29/20,3
India,03/01/20,3
India,03/02/20,5
India,03/03/20,5
India,03/04/20,28
India,03/05/20,30
India,03/06/20,31
India,03/07/20,34
India,03/08/20,39
India,03/09/20,43
India,03/10/20,56
India,03/11/20,62
India,03/12/20,73
India,03/13/20,82
India,03/14/20,102
India,03/15/20,113
India,03/16/20,119
India,03/17/20,142
India,03/18/20,156
India,03/19/20,194
India,03/20/20,244
India,03/21/20,330
India,03/22/20,396
India,03/23/20,499
India,03/24/20,536
India,03/25/20,657
India,03/26/20,727
India,03/27/20,887
India,03/28/20,987
India,03/29/20,1024
India,03/30/20,1251
India,03/31/20,1397
India,04/01/20,1998
India,04/02/20,2543
India,04/03/20,2567
India,04/04/20,3082
India,04/05/20,3588
India,04/06/20,4778
India,04/07/20,5311
India,04/08/20,5916
India,04/09/20,6725
India,04/10/20,7598
India,04/11/20,8446
India,04/12/20,9205
India,04/13/20,10453
India,04/14/20,11487
India,04/15/20,12322
India,04/16/20,13430
India,04/17/20,14352
India,04/18/20,15722
India,04/19/20,17615
India,04/20/20,18539
India,04/21/20,20080
India,04/22/20,21370
India,04/23/20,23077
